--------- beginning of main
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.os.Looper.loop(Looper.java:338)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ActivityThread.main(ActivityThread.java:9067)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at java.lang.reflect.Method.invoke(Native Method)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:593)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:932)
09-15 22:55:14.073  5705  5705 D StrictMode: StrictMode policy violation; ~duration=654 ms: android.os.strictmode.DiskReadViolation
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.os.StrictMode$AndroidBlockGuardPolicy.onReadFromDisk(StrictMode.java:1728)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at libcore.io.BlockGuardOs.access(BlockGuardOs.java:74)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at libcore.io.ForwardingOs.access(ForwardingOs.java:128)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ActivityThread$AndroidOs.access(ActivityThread.java:8944)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at java.io.UnixFileSystem.checkAccess(UnixFileSystem.java:332)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at java.io.File.exists(File.java:829)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ContextImpl.ensurePrivateDirExists(ContextImpl.java:818)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ContextImpl.ensurePrivateDirExists(ContextImpl.java:809)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ContextImpl.getPreferencesDir(ContextImpl.java:765)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ContextImpl.getSharedPreferencesPath(ContextImpl.java:990)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ContextImpl.getSharedPreferences(ContextImpl.java:605)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at com.example.kpkn.ui.locale.LocaleManager.getSavedLanguage(LocaleManager.kt:86)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at com.example.kpkn.ui.locale.LocaleManager.wrapContext(LocaleManager.kt:97)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at com.example.kpkn.MainActivity.attachBaseContext(MainActivity.kt:143)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.Activity.attach(Activity.java:9042)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:4231)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:4467)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:222)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.servertransaction.TransactionExecutor.executeNonLifecycleItem(TransactionExecutor.java:133)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.servertransaction.TransactionExecutor.executeTransactionItems(TransactionExecutor.java:103)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:80)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2823)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.os.Handler.dispatchMessage(Handler.java:110)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.os.Looper.loopOnce(Looper.java:248)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.os.Looper.loop(Looper.java:338)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at android.app.ActivityThread.main(ActivityThread.java:9067)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at java.lang.reflect.Method.invoke(Native Method)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:593)
09-15 22:55:14.073  5705  5705 D StrictMode: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:932)
09-15 22:55:14.077  5705  5705 D StrictMode: StrictMode policy violation; ~duration=290 ms: android.os.strictmode.DiskReadViolation
09-15 22:55:14.077  5705  5705 D StrictMode: 	at android.os.StrictMode$AndroidBlockGuardPolicy.onReadFromDisk(StrictMode.java:1728)
09-15 22:55:14.077  5705  5705 D StrictMode: 	at libcore.io.BlockGuardOs.access(BlockGuardOs.java:74)
09-15 22:55:14.077  5705  5705 D StrictMode: 	at libcore.io.ForwardingOs.access(ForwardingOs.java:128)
09-15 22:55:14.077  5705  5705 D StrictMode: 	at android.app.ActivityThread$AndroidOs.access(ActivityThread.java:8944)
09-15 22:55:14.077  5705  5705 D StrictMode: 	at java.io.UnixFileSystem.checkAccess(UnixFileSystem.java:332)
09-15 22:55:14.077  5705  5705 D StrictMode: 	at java.io.File.exists(File.java:829)
09-15 22:55:14.077  5705  5705 D StrictMode: 	at android.app.ContextImpl.ensurePrivateDirExists(ContextImpl.java:818)
09-15 22:55:14.077  5705  5705 D StrictMode: 	at android.app.ContextImpl.ensurePrivateDirExists(ContextImpl.java:809)
